Bug ID,Related TC ID,Scenario,Bug Title,Severity,Priority,Steps to Reproduce,Expected Result,Actual Result,Bug/Observation
BUG-01,TC-01,Landing Page,Issue with landing page loading,High,High,Open DocuSense URL in browser,Landing page loads without errors,Ready,
BUG-02,TC-02,Landing Page,Hero section visibility issue,High,High,"Check hero title, description and CTA",Hero section content is visible,Ready,
BUG-03,TC-03,Landing Page,Analyze button scroll failure,High,High,"Click ""Analyze Document"" button",Page scrolls smoothly to tool section,Ready,
BUG-04,TC-04,Landing Page,Navbar logo alignment issue,High,High,Observe navbar logo,Logo is visible and properly aligned,Ready,
BUG-05,TC-05,File Upload,PDF upload failure,High,High,Upload a PDF file (invoice.pdf),File uploads successfully,Ready,
BUG-06,TC-06,File Upload,Image (JPG/PNG) upload failure,High,High,Upload JPG or PNG file,Image file uploads successfully,Ready,
BUG-07,TC-07,File Upload,TXT file upload failure,High,High,Upload TXT file,Text file uploads successfully,Ready,
BUG-08,TC-08,File Upload,No-file validation issue,High,High,Click Analyze button without file,"Error message ""Please select a file""",Ready,
BUG-09,TC-09,Detection,Invoice detection failure,High,High,Upload invoice and analyze,"Document detected as ""Invoice""",Ready,
BUG-10,TC-10,Detection,Resume detection failure,High,High,Upload resume and analyze,"Document detected as ""Resume""",Ready,
BUG-11,TC-11,Detection,Image analysis failure,High,High,Upload image and analyze,"Document detected as ""Image""",Ready,
BUG-30,TC-30,Error Handling,Unsupported file type crash,High,High,Upload an .exe file,Proper error message displayed,Ready,
BUG-31,TC-31,Error Handling,Empty file analysis issue,High,High,Upload empty.txt and analyze,Handled gracefully without crash,Ready,
BUG-32,TC-32,Performance,Large file (5MB) timeout,High,High,Upload 5MB.pdf and analyze,Analysis completes successfully,Ready,